,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,URL
95,kampong thum,kh,13.114481540013301,104.7710347794353,86.83,53,76,4.16,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=kampong thum,kh"
96,puerto ayora,ec,-13.550289841047942,-106.1560848648063,78.8,78,40,13.87,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=puerto ayora,ec"
97,port hedland,au,-21.132076396073472,121.28591957103407,82.4,88,0,6.93,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=port hedland,au"
98,almeirim,br,-1.0558741087611736,-53.016953154112514,81.93,86,64,4.27,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=almeirim,br"
99,nanortalik,gl,52.997902122732285,-34.76361548837224,25.36,100,44,25.64,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=nanortalik,gl"
100,provideniya,ru,56.68396393582077,-177.56762060852327,22.8,100,80,6.62,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=provideniya,ru"
101,abonnema,ng,2.465230008708403,6.325327987024053,89.6,66,75,9.17,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=abonnema,ng"
103,ushuaia,ar,-67.22258022258559,-53.06708681592234,43.84,60,75,13.87,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ushuaia,ar"
104,college,us,76.74089499496267,-145.84148643862505,0.12,54,1,10.29,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=college,us"
105,jamestown,sh,-47.635385362288375,-13.936920944439635,73.83,100,12,1.92,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=jamestown,sh"
106,fortuna,us,40.16314323671125,-135.6584103904304,44.44,93,90,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=fortuna,us"
107,bundaberg,au,-24.233943822141043,152.7703241426771,76.21,100,36,21.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=bundaberg,au"
108,corrente,br,-10.80572995272027,-45.75143740014764,81.3,58,0,9.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=corrente,br"
109,kodiak,us,56.98907789657153,-151.14770787773446,39.2,93,75,3.36,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=kodiak,us"
110,ribeira grande,pt,43.09460781104599,-35.69064971463007,66.2,82,20,17.22,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ribeira grande,pt"
111,ixtapa,mx,11.97499726586004,-104.38823679869958,69.8,73,5,2.82,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ixtapa,mx"
112,atuona,pf,0.16178891474569923,-139.06931252445568,81.3,100,92,15.01,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=atuona,pf"
113,caravelas,br,-23.447003261181138,-23.254160443253625,81.3,100,56,11.99,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=caravelas,br"
114,punta arenas,cl,-75.98425812142337,-110.51144329905603,45.43,52,75,17.22,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=punta arenas,cl"
115,faanui,pf,-7.802563133308041,-156.4256372351042,81.07,100,68,16.46,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=faanui,pf"
116,buraydah,sa,24.520142323940917,41.28383338150633,95,13,0,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=buraydah,sa"
117,pimentel,pe,-7.764625213092756,-82.19927966099182,75.2,73,0,2.24,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=pimentel,pe"
118,lumsden,ca,51.04317785725854,-104.79353924845,28.67,79,75,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=lumsden,ca"
119,jamestown,sh,-25.503976728067897,-13.307541800951782,73.83,100,12,1.92,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=jamestown,sh"
121,mount gambier,au,-39.01587598893023,138.5672969514228,65.59,48,92,9.86,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=mount gambier,au"
122,busselton,au,-61.37450236215455,98.97314513349698,62.98,100,44,9.64,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=busselton,au"
123,carnarvon,au,-26.6994736712939,87.30752704050184,79.45,93,0,17.13,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=carnarvon,au"
124,kaura namoda,ng,12.297634578263143,6.183209170316616,102.13,17,0,8.52,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=kaura namoda,ng"
126,lorengau,pg,2.889963581850054,144.01211617008397,81.93,100,68,5.84,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=lorengau,pg"
127,busselton,au,-45.85945299151505,86.0126629882925,62.98,100,44,9.64,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=busselton,au"
128,port elizabeth,za,-48.73781456812495,27.609204182289204,75.2,64,0,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=port elizabeth,za"
130,hermanus,za,-69.79184141120115,1.1906961436750976,77.11,29,8,9.31,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=hermanus,za"
131,ushuaia,ar,-58.39649646009714,-50.737440083258576,43.84,60,75,13.87,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ushuaia,ar"
132,ulaangom,mn,49.98895165932251,93.23214647028726,17.89,74,0,1.59,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ulaangom,mn"
134,pilar,br,-7.200006213314467,-35.259603461084566,86,58,40,14.99,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=pilar,br"
135,port alfred,za,-86.94714198440504,53.09470674542305,79.41,70,0,11.43,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=port alfred,za"
136,sandwick,gb,59.170892926733956,-1.6876728507615724,45.14,100,75,12.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=sandwick,gb"
137,anadyr,ru,61.333685180729304,173.08269575926118,-5.81,70,0,6.71,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=anadyr,ru"
138,rikitea,pf,-53.41898836829326,-116.78702802420767,79.41,100,76,13.44,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=rikitea,pf"
139,jamestown,sh,-16.22194178267148,1.764394337540665,73.83,100,12,1.92,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=jamestown,sh"
141,fort nelson,ca,63.94012149072975,-120.78420435465635,6.8,84,90,2.24,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=fort nelson,ca"
142,qaanaaq,gl,82.6881450942441,-68.45372553992071,-11.72,74,0,7.4,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=qaanaaq,gl"
143,ushuaia,ar,-84.8218404975672,-52.065879480172086,43.84,60,75,13.87,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ushuaia,ar"
145,jamestown,sh,-38.942251637993486,-6.654346437595763,73.83,100,12,1.92,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=jamestown,sh"
146,hami,cn,42.719114944705126,95.32697224278667,57.81,51,44,6.4,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=hami,cn"
148,hobart,au,-44.687705909592786,154.19820917210325,57.2,67,90,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=hobart,au"
149,ushuaia,ar,-75.59427163586929,-20.772989747855462,43.84,60,75,13.87,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=ushuaia,ar"
150,busselton,au,-57.76640497696664,89.4739210658064,62.98,100,44,9.64,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=busselton,au"
